SeniorCitizen,WeekendBouncer,avgBounceTime,bounceInStreet,PaperlessBilling,monthlyDistanceBounced,totalDistanceBounced,Churn,phoneType,avgBounceDistance,avgBounceHeight
No,No,32,Yes,Yes,54.2,1739.6,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,65,Yes,Yes,90.65,5931,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,45,No,Yes,50.9,2333.85,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,42,Yes,No,25.05,949.85,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,8,Yes,Yes,74.85,572.45,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,32,Yes,No,20.5,696.8,No_Churn,IPhone,4+ ft.,2+ ft.
Yes,No,22,Yes,Yes,63.55,1381.8,No_Churn,Unknown,1-4 ft.,<1 ft.
Yes,No,57,No,Yes,44.85,2572.95,Churn,Unknown,<1 ft.,<1 ft.
No,No,1,Yes,No,47.95,47.95,No_Churn,Unknown,<1 ft.,<1 ft.
Yes,No,1,Yes,No,45.1,45.1,Churn,Unknown,<1 ft.,<1 ft.
No,No,1,Yes,Yes,45,45,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,24,Yes,Yes,96,2122.45,Churn,Android,1-4 ft.,<1 ft.
No,No,1,Yes,No,20.05,20.05,Churn,IPhone,4+ ft.,<1 ft.
Yes,No,54,Yes,Yes,90.05,4931.8,No_Churn,Android,<1 ft.,<1 ft.
No,No,4,Yes,Yes,25.3,116.95,No_Churn,IPhone,4+ ft.,2+ ft.
No,Yes,65,Yes,No,108.65,6937.95,Churn,Android,1-4 ft.,2+ ft.
No,No,56,Yes,No,24.3,1261.7,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,45,Yes,Yes,75.95,3273.8,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,71,Yes,No,19.7,1415.85,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,59,Yes,No,66.4,3958.2,No_Churn,Unknown,<1 ft.,1-2 ft.
No,No,69,No,Yes,35.75,2492.25,No_Churn,Unknown,<1 ft.,1-2 ft.
No,No,19,Yes,No,18.8,279.2,No_Churn,IPhone,4+ ft.,1-2 ft.
No,Yes,55,Yes,No,19.4,1083,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,38,Yes,No,19.3,755.5,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,10,Yes,Yes,45.55,402.6,Churn,Unknown,<1 ft.,<1 ft.
Yes,No,47,Yes,Yes,67.45,3252,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,2,No,Yes,35.1,68.75,Churn,Unknown,<1 ft.,<1 ft.
No,No,1,Yes,No,46.2,46.2,Churn,Unknown,<1 ft.,<1 ft.
No,No,1,Yes,No,45.15,45.15,Churn,Unknown,<1 ft.,<1 ft.
Yes,No,1,No,Yes,43.3,43.3,Churn,Unknown,<1 ft.,<1 ft.
No,Yes,46,Yes,Yes,20.1,936.85,No_Churn,IPhone,4+ ft.,2+ ft.
Yes,No,38,Yes,Yes,57.15,2250.65,Churn,Unknown,<1 ft.,<1 ft.
No,No,65,Yes,No,58.9,3857.1,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,19,Yes,Yes,73.2,1441.1,Churn,Android,<1 ft.,<1 ft.
No,No,52,Yes,Yes,85.35,4338.6,Churn,Android,<1 ft.,<1 ft.
No,Yes,71,Yes,No,19.45,1378.45,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,1,Yes,No,45.95,45.95,Churn,Unknown,<1 ft.,<1 ft.
Yes,No,52,No,Yes,50.5,2566.3,No_Churn,Unknown,1-4 ft.,<1 ft.
No,No,6,Yes,No,25.1,171,No_Churn,IPhone,4+ ft.,1-2 ft.
Yes,No,26,Yes,No,60.7,1597.4,No_Churn,Unknown,<1 ft.,1-2 ft.
Yes,No,48,Yes,Yes,99,4744.35,No_Churn,Android,<1 ft.,1-2 ft.
No,Yes,64,Yes,Yes,104.4,6721.6,No_Churn,Android,1-4 ft.,1-2 ft.
No,No,3,Yes,No,83.75,247.25,Churn,Android,<1 ft.,<1 ft.
No,No,1,Yes,Yes,44.05,44.05,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,72,Yes,No,24.1,1734.65,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,1,Yes,Yes,45.55,45.55,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,51,Yes,Yes,93.8,4539.35,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,41,Yes,No,19.7,804.25,No_Churn,IPhone,4+ ft.,2+ ft.
No,Yes,72,Yes,Yes,70.65,5011.15,No_Churn,Unknown,<1 ft.,2+ ft.
No,No,43,Yes,No,86.45,3574.5,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,72,Yes,Yes,114.1,8086.4,No_Churn,Android,1-4 ft.,2+ ft.
No,No,47,Yes,Yes,95.2,4563,No_Churn,Android,<1 ft.,1-2 ft.
No,No,72,Yes,No,88.55,6362.35,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,3,Yes,Yes,20.75,67.1,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,1,Yes,Yes,70.05,70.05,Churn,Android,<1 ft.,<1 ft.
No,No,2,Yes,Yes,86,165.45,Churn,Android,<1 ft.,<1 ft.
No,No,26,No,Yes,44.65,1156.55,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,29,Yes,Yes,60.2,1834.15,No_Churn,Unknown,<1 ft.,<1 ft.
Yes,No,35,Yes,Yes,100.5,3653.35,Churn,Android,1-4 ft.,<1 ft.
No,No,27,Yes,No,55.45,1477.65,No_Churn,Unknown,<1 ft.,1-2 ft.
No,Yes,24,Yes,Yes,70.3,1706.45,No_Churn,Unknown,1-4 ft.,<1 ft.
No,Yes,67,Yes,Yes,60.4,3953.7,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,16,Yes,No,72.65,1194.3,Churn,Android,<1 ft.,<1 ft.
No,No,23,Yes,No,55.8,1327.85,No_Churn,Unknown,<1 ft.,1-2 ft.
No,No,14,No,Yes,31.1,419.7,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,1,Yes,Yes,21,21,Churn,IPhone,4+ ft.,<1 ft.
Yes,No,1,Yes,No,45.1,45.1,Churn,Unknown,<1 ft.,<1 ft.
Yes,No,4,No,Yes,50.95,207.35,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,16,Yes,Yes,69.1,1083.7,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,46,No,Yes,43.95,2007.85,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,68,Yes,Yes,86.5,5882.75,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,38,Yes,No,69.95,2657.55,No_Churn,Unknown,1-4 ft.,<1 ft.
Yes,No,30,Yes,Yes,50.4,1527.5,Churn,Unknown,<1 ft.,<1 ft.
Yes,No,5,Yes,No,78.95,378.4,Churn,Android,<1 ft.,<1 ft.
No,No,17,Yes,Yes,90.95,1612.2,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,4,Yes,No,19.9,76.65,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,12,Yes,No,20.15,260.7,No_Churn,IPhone,4+ ft.,1-2 ft.
No,Yes,72,Yes,Yes,90.6,6441.85,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,3,Yes,Yes,92,266.8,No_Churn,Android,<1 ft.,<1 ft.
No,No,56,Yes,Yes,94.45,5124.6,Churn,Android,1-4 ft.,<1 ft.
No,No,41,Yes,Yes,24.85,962.25,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,40,No,No,36,1382.9,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,No,7,Yes,Yes,78.5,571.05,No_Churn,Unknown,1-4 ft.,<1 ft.
No,No,69,Yes,No,19.95,1399.35,No_Churn,IPhone,4+ ft.,2+ ft.
No,Yes,7,Yes,No,20.65,150,No_Churn,IPhone,4+ ft.,1-2 ft.
No,Yes,5,No,Yes,30.5,167.2,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,72,Yes,No,106.1,7657.4,No_Churn,Android,1-4 ft.,2+ ft.
No,Yes,44,Yes,Yes,20.5,865.05,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,65,Yes,Yes,95.5,6153.85,No_Churn,Android,<1 ft.,1-2 ft.
No,No,3,Yes,No,64.6,174.2,No_Churn,Unknown,1-4 ft.,<1 ft.
No,No,24,Yes,Yes,51.1,1269.6,No_Churn,Unknown,1-4 ft.,<1 ft.
No,No,44,Yes,Yes,84.8,3862.55,Churn,Android,<1 ft.,<1 ft.
Yes,No,72,Yes,No,89.1,6352.4,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,24,Yes,No,54.95,1348.5,No_Churn,Unknown,1-4 ft.,<1 ft.
No,No,1,Yes,No,50.9,50.9,Churn,Unknown,<1 ft.,<1 ft.
No,No,22,Yes,Yes,20.45,471.55,No_Churn,IPhone,4+ ft.,<1 ft.
No,Yes,70,Yes,Yes,85.95,5931.75,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,25,Yes,No,60.35,1404.65,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,37,Yes,No,19.8,726.1,No_Churn,IPhone,4+ ft.,2+ ft.
Yes,Yes,22,Yes,No,85.35,1961.6,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,59,Yes,Yes,72.1,4194.85,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,49,Yes,Yes,99.8,4872.45,Churn,Android,<1 ft.,<1 ft.
No,Yes,47,Yes,Yes,107.35,5118.95,Churn,Android,1-4 ft.,<1 ft.
No,Yes,31,Yes,Yes,19.55,658.95,Churn,IPhone,4+ ft.,<1 ft.
No,Yes,1,Yes,Yes,81.05,81.05,No_Churn,Android,<1 ft.,<1 ft.
No,No,3,Yes,Yes,20.5,76.95,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,53,Yes,Yes,111.8,5809.75,No_Churn,Android,1-4 ft.,1-2 ft.
No,No,1,Yes,No,20.2,20.2,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,20,Yes,Yes,19.7,415.9,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,3,Yes,Yes,79.1,246.5,Churn,Android,<1 ft.,<1 ft.
No,No,51,Yes,Yes,19.85,996.95,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,51,Yes,Yes,60.5,3145.15,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,Yes,13,Yes,No,19.55,265.3,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,1,Yes,No,20.9,20.9,No_Churn,IPhone,4+ ft.,<1 ft.
No,Yes,1,Yes,Yes,21.05,21.05,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,63,Yes,No,71.5,4576.3,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,No,3,Yes,No,54.65,189.1,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,46,Yes,No,19.2,908.15,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,1,Yes,Yes,49.8,49.8,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,8,No,No,25.5,215.2,Churn,Unknown,<1 ft.,<1 ft.
No,Yes,71,Yes,No,20.5,1500.95,No_Churn,IPhone,4+ ft.,2+ ft.
No,Yes,55,Yes,Yes,90.4,5099.15,No_Churn,Android,<1 ft.,<1 ft.
No,No,70,Yes,Yes,90.25,6385.95,No_Churn,Android,1-4 ft.,1-2 ft.
No,No,2,Yes,No,80.75,159.45,Churn,Android,<1 ft.,<1 ft.
No,Yes,67,Yes,No,104.6,6885.75,No_Churn,Android,1-4 ft.,2+ ft.
No,No,65,Yes,Yes,91.85,5940.85,Churn,Android,<1 ft.,<1 ft.
No,No,14,Yes,No,50.2,668.85,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,20,Yes,Yes,95.5,1916.2,No_Churn,Android,1-4 ft.,<1 ft.
No,Yes,1,Yes,Yes,75.35,75.35,Churn,Android,<1 ft.,<1 ft.
No,No,1,Yes,Yes,75.45,75.45,Churn,Android,<1 ft.,<1 ft.
No,Yes,49,Yes,Yes,95.4,4613.95,No_Churn,Android,<1 ft.,<1 ft.
No,No,72,Yes,Yes,101.3,7261.25,No_Churn,Android,<1 ft.,2+ ft.
No,No,46,Yes,No,53.1,2459.8,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,24,Yes,Yes,84.85,2048.8,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,5,No,No,34.25,163.55,No_Churn,Unknown,1-4 ft.,<1 ft.
No,Yes,33,Yes,No,88.6,2888.7,No_Churn,Android,1-4 ft.,<1 ft.
No,No,42,Yes,Yes,60.15,2421.6,No_Churn,Unknown,<1 ft.,1-2 ft.
No,No,23,Yes,Yes,99.95,2292.75,No_Churn,Android,<1 ft.,1-2 ft.
No,No,8,Yes,No,70.7,553.4,No_Churn,Android,<1 ft.,<1 ft.
No,No,66,Yes,Yes,54.8,3465.7,No_Churn,Unknown,<1 ft.,1-2 ft.
No,No,24,Yes,Yes,49.55,1210.4,Churn,Unknown,<1 ft.,<1 ft.
Yes,No,24,Yes,No,54.8,1291.3,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,69,Yes,Yes,78.6,5356.45,Churn,Unknown,1-4 ft.,1-2 ft.
No,No,53,Yes,Yes,100.3,5200.8,No_Churn,Android,<1 ft.,1-2 ft.
No,No,60,No,No,53.6,3237.05,No_Churn,Unknown,<1 ft.,2+ ft.
No,No,7,Yes,Yes,81.1,576.65,Churn,Android,<1 ft.,<1 ft.
No,No,20,Yes,Yes,19.35,433.75,No_Churn,IPhone,4+ ft.,1-2 ft.
No,Yes,23,Yes,No,85.6,1868.4,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,72,Yes,Yes,80.8,5728.55,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,11,Yes,Yes,74.95,825.7,Churn,Android,<1 ft.,<1 ft.
No,No,21,Yes,No,19.6,390.4,No_Churn,IPhone,4+ ft.,2+ ft.
Yes,No,1,Yes,Yes,93.55,93.55,Churn,Android,<1 ft.,<1 ft.
Yes,No,31,Yes,Yes,90.7,2845.15,No_Churn,Android,<1 ft.,<1 ft.
No,No,57,Yes,No,69.75,3894.4,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,45,Yes,Yes,20,886.4,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,10,Yes,Yes,95.25,1021.55,No_Churn,Android,<1 ft.,<1 ft.
No,No,58,Yes,Yes,102.1,5885.4,Churn,Android,1-4 ft.,<1 ft.
No,Yes,14,Yes,No,19.95,268.4,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,27,Yes,No,80.85,2204.35,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,Yes,14,Yes,Yes,90.9,1259,Churn,Android,<1 ft.,<1 ft.
No,Yes,12,No,No,29.2,309.1,Churn,Unknown,<1 ft.,<1 ft.
No,Yes,69,Yes,Yes,93.3,6398.05,No_Churn,Android,1-4 ft.,2+ ft.
No,Yes,25,Yes,Yes,89.15,2257.75,Churn,Android,<1 ft.,<1 ft.
Yes,No,58,Yes,Yes,108.85,6287.25,Churn,Android,<1 ft.,1-2 ft.
No,Yes,35,No,Yes,46.35,1662.05,No_Churn,Unknown,1-4 ft.,2+ ft.
Yes,No,16,Yes,Yes,84.75,1350.15,Churn,Android,<1 ft.,<1 ft.
No,Yes,45,Yes,No,78.75,3600.65,No_Churn,Unknown,<1 ft.,1-2 ft.
No,No,17,Yes,Yes,83.55,1329.15,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,1,Yes,Yes,45.7,45.7,Churn,Unknown,<1 ft.,<1 ft.
No,No,22,Yes,No,19.6,422.5,No_Churn,IPhone,4+ ft.,1-2 ft.
Yes,No,1,Yes,Yes,69.95,69.95,Churn,Android,<1 ft.,<1 ft.
No,Yes,67,Yes,No,67.85,4627.65,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,67,Yes,Yes,105.65,6717.9,No_Churn,Android,1-4 ft.,2+ ft.
No,No,2,No,No,44.6,97.1,Churn,Unknown,<1 ft.,<1 ft.
No,No,23,Yes,Yes,74.95,1710.45,Churn,Android,<1 ft.,<1 ft.
Yes,No,9,Yes,No,75.5,637.4,No_Churn,Android,<1 ft.,<1 ft.
No,No,5,Yes,No,20.15,117.95,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,54,No,No,45.2,2460.55,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,57,Yes,Yes,95.25,5464.65,Churn,Android,<1 ft.,2+ ft.
No,No,24,Yes,Yes,89.85,2165.05,Churn,Android,<1 ft.,<1 ft.
No,Yes,49,Yes,No,100.45,4941.8,Churn,Android,<1 ft.,1-2 ft.
No,No,5,Yes,No,47.15,223.15,Churn,Unknown,<1 ft.,<1 ft.
No,No,2,Yes,Yes,80.2,181.1,Churn,Android,<1 ft.,<1 ft.
No,Yes,4,Yes,Yes,87.1,341.45,Churn,Android,1-4 ft.,<1 ft.
No,Yes,70,Yes,Yes,79.25,5731.85,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,5,Yes,Yes,75.9,357.75,Churn,Android,<1 ft.,<1 ft.
No,Yes,53,Yes,No,85.7,4616.1,No_Churn,Unknown,1-4 ft.,<1 ft.
No,No,47,Yes,Yes,98.75,4533.7,Churn,Android,<1 ft.,<1 ft.
No,Yes,31,Yes,No,20.1,589.25,No_Churn,IPhone,4+ ft.,1-2 ft.
No,Yes,13,Yes,No,61.8,750.1,No_Churn,Unknown,1-4 ft.,<1 ft.
No,Yes,28,Yes,No,49.9,1410.25,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,10,Yes,No,86.45,830.85,Churn,Android,<1 ft.,<1 ft.
No,No,38,Yes,No,20.4,743.5,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,1,Yes,Yes,45.3,45.3,Churn,Unknown,<1 ft.,<1 ft.
No,No,67,Yes,No,104.1,7040.85,Churn,Android,<1 ft.,1-2 ft.
No,No,52,Yes,Yes,75.4,3865.45,No_Churn,Unknown,<1 ft.,1-2 ft.
No,Yes,62,Yes,No,108.15,6825.65,No_Churn,Android,1-4 ft.,2+ ft.
No,No,16,Yes,Yes,86.25,1340.1,No_Churn,Android,<1 ft.,<1 ft.
Yes,No,5,Yes,Yes,81,371.65,Churn,Android,<1 ft.,<1 ft.
No,No,12,Yes,No,95.7,1184,No_Churn,Android,<1 ft.,1-2 ft.
No,Yes,72,Yes,Yes,116.85,8477.7,No_Churn,Android,1-4 ft.,2+ ft.
Yes,No,71,Yes,No,105.75,7382.85,No_Churn,Android,1-4 ft.,1-2 ft.
No,No,24,Yes,No,20.15,456.85,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,15,Yes,No,19.6,331.6,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,67,Yes,Yes,90.6,6056.15,Churn,Android,<1 ft.,1-2 ft.
No,Yes,2,Yes,No,60.95,134.6,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,5,No,No,25.05,125.5,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,15,Yes,No,88.15,1390.6,Churn,Android,<1 ft.,<1 ft.
No,No,1,Yes,Yes,20.2,20.2,Churn,IPhone,4+ ft.,<1 ft.
No,Yes,41,Yes,Yes,60.3,2511.3,No_Churn,Unknown,<1 ft.,1-2 ft.
No,Yes,43,Yes,Yes,63.95,2737.05,No_Churn,Unknown,<1 ft.,<1 ft.
Yes,No,1,Yes,No,74.3,74.3,No_Churn,Android,<1 ft.,<1 ft.
Yes,No,1,Yes,Yes,70.6,70.6,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,26,Yes,Yes,90.8,2361.8,Churn,Android,<1 ft.,<1 ft.
No,No,22,Yes,Yes,79.35,1730.35,Churn,Android,<1 ft.,<1 ft.
No,No,71,Yes,No,90.55,6404,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,7,Yes,No,19.45,165.35,No_Churn,IPhone,4+ ft.,2+ ft.
Yes,No,28,Yes,No,64.45,1867.6,No_Churn,Unknown,1-4 ft.,<1 ft.
Yes,No,16,Yes,No,69.65,1043.3,No_Churn,Android,<1 ft.,<1 ft.
No,No,7,Yes,No,19.5,128.6,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,69,Yes,Yes,110.5,7455.45,No_Churn,Android,1-4 ft.,2+ ft.
No,Yes,1,No,No,24.7,24.7,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,3,Yes,Yes,77.4,206.15,No_Churn,Unknown,<1 ft.,<1 ft.
Yes,No,21,Yes,Yes,96.8,2030.3,Churn,Android,<1 ft.,<1 ft.
No,No,69,Yes,Yes,85.4,5869.4,No_Churn,Android,<1 ft.,<1 ft.
No,No,71,No,Yes,47.6,3377.8,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,69,Yes,No,19.4,1346.2,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,48,Yes,Yes,103.85,4946.05,No_Churn,Android,1-4 ft.,<1 ft.
No,No,47,Yes,Yes,83.35,4065,Churn,Android,<1 ft.,<1 ft.
No,No,2,Yes,Yes,49.4,106.55,Churn,Unknown,<1 ft.,<1 ft.
No,No,45,Yes,Yes,108.45,4964.7,No_Churn,Android,1-4 ft.,<1 ft.
No,No,51,Yes,No,81,4085.75,No_Churn,Android,<1 ft.,<1 ft.
No,No,22,Yes,Yes,79.2,1742.75,Churn,Unknown,1-4 ft.,<1 ft.
No,No,72,Yes,No,86.65,6224.8,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,37,Yes,Yes,92.95,3415.25,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,71,Yes,No,90.35,6325.25,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,7,Yes,No,48.7,340.25,Churn,Unknown,<1 ft.,<1 ft.
No,No,66,Yes,Yes,25.15,1683.6,No_Churn,IPhone,4+ ft.,2+ ft.
No,Yes,51,Yes,Yes,76.4,3966.3,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,Yes,30,Yes,No,19.55,608.5,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,34,Yes,No,85.35,2896.6,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,64,Yes,Yes,24.8,1514.85,No_Churn,IPhone,4+ ft.,2+ ft.
Yes,No,65,Yes,Yes,103.15,6792.45,No_Churn,Android,<1 ft.,1-2 ft.
No,No,47,Yes,No,100.75,4669.2,No_Churn,Android,1-4 ft.,<1 ft.
No,No,1,Yes,Yes,95.6,95.6,Churn,Android,<1 ft.,<1 ft.
No,No,49,Yes,Yes,59.75,2934.3,Churn,Unknown,<1 ft.,<1 ft.
No,Yes,67,Yes,No,94.1,6302.8,No_Churn,Android,1-4 ft.,2+ ft.
No,Yes,39,Yes,No,19.35,779.2,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,14,Yes,No,19.9,283.75,No_Churn,IPhone,4+ ft.,<1 ft.
Yes,No,43,Yes,Yes,108.15,4600.7,Churn,Android,1-4 ft.,<1 ft.
Yes,No,56,Yes,Yes,101.05,5594,No_Churn,Android,<1 ft.,<1 ft.
No,No,14,Yes,No,59.1,772.85,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,No,1,Yes,No,71.35,71.35,Churn,Android,<1 ft.,<1 ft.
No,Yes,16,Yes,Yes,55.85,857.8,No_Churn,Unknown,<1 ft.,1-2 ft.
No,Yes,70,Yes,Yes,106.05,7554.05,No_Churn,Android,<1 ft.,<1 ft.
Yes,No,72,Yes,Yes,84.1,5981.65,No_Churn,Unknown,<1 ft.,2+ ft.
No,Yes,23,Yes,Yes,75.3,1702.9,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,21,Yes,No,24.7,467.15,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,1,Yes,Yes,20.15,20.15,Churn,IPhone,4+ ft.,<1 ft.
No,Yes,1,Yes,No,69.75,69.75,Churn,Android,<1 ft.,<1 ft.
Yes,No,32,Yes,Yes,93.2,2931,Churn,Android,<1 ft.,<1 ft.
No,Yes,17,Yes,No,80.85,1400.85,Churn,Android,<1 ft.,<1 ft.
No,No,4,No,Yes,33.65,137.85,Churn,Unknown,<1 ft.,<1 ft.
No,No,36,Yes,No,55.8,1941.5,No_Churn,Unknown,<1 ft.,1-2 ft.
No,No,50,No,No,39.7,1932.75,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,48,No,Yes,29.5,1423.05,No_Churn,Unknown,1-4 ft.,<1 ft.
No,Yes,50,Yes,No,20.15,970.85,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,72,Yes,No,79.55,5810.9,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,10,Yes,No,24.8,223.9,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,18,Yes,No,19.65,391.7,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,1,Yes,Yes,79.95,79.95,Churn,Android,<1 ft.,<1 ft.
No,No,1,Yes,No,19.3,19.3,Churn,IPhone,4+ ft.,<1 ft.
No,No,9,Yes,Yes,94.05,811.65,No_Churn,Android,<1 ft.,<1 ft.
No,No,2,Yes,No,90.75,174.75,No_Churn,Android,<1 ft.,<1 ft.
No,No,40,Yes,Yes,78.85,3126.85,No_Churn,Android,1-4 ft.,<1 ft.
No,No,69,Yes,No,99.5,6841.45,No_Churn,Android,<1 ft.,1-2 ft.
No,No,37,Yes,Yes,99.2,3754.6,Churn,Android,1-4 ft.,1-2 ft.
No,Yes,18,Yes,Yes,80.55,1406.65,No_Churn,Android,<1 ft.,<1 ft.
Yes,No,11,Yes,Yes,70.2,834.7,No_Churn,Android,<1 ft.,<1 ft.
No,No,8,Yes,Yes,85.2,627.4,Churn,Android,<1 ft.,<1 ft.
No,No,3,Yes,No,75.25,242,Churn,Android,<1 ft.,<1 ft.
No,Yes,55,Yes,No,59.45,3157,No_Churn,Unknown,<1 ft.,1-2 ft.
No,No,33,Yes,Yes,93.35,3092,No_Churn,Android,<1 ft.,<1 ft.
No,No,46,Yes,No,44.95,2168.9,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,34,Yes,No,26.1,980.35,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,3,Yes,No,20.2,65.95,No_Churn,IPhone,4+ ft.,<1 ft.
No,Yes,30,Yes,No,21.25,711.9,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,33,Yes,No,59.4,1952.8,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,Yes,45,Yes,Yes,95,4368.85,No_Churn,Android,<1 ft.,1-2 ft.
No,No,40,Yes,Yes,61.9,2647.1,No_Churn,Unknown,1-4 ft.,<1 ft.
No,No,71,Yes,Yes,118.65,8477.6,No_Churn,Android,1-4 ft.,2+ ft.
No,No,1,Yes,No,54.35,54.35,Churn,Unknown,<1 ft.,<1 ft.
No,Yes,72,No,No,64.45,4528,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,22,Yes,Yes,80.15,1790.65,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,46,Yes,Yes,20.2,845.6,No_Churn,IPhone,4+ ft.,1-2 ft.
No,Yes,55,Yes,No,21,1210.3,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,1,Yes,No,20.45,20.45,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,12,Yes,Yes,75.85,854.45,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,No,31,Yes,Yes,80.45,2429.1,No_Churn,Android,<1 ft.,<1 ft.
No,No,5,No,Yes,24.95,100.4,Churn,Unknown,<1 ft.,<1 ft.
